[ 2025-03-10 12:45:21,408 ] 17 root - INFO - Initiate the data ingestion
[ 2025-03-10 12:45:22,223 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-03-10 12:45:22,223 ] 64 root - INFO - Exited split_data_as_train_test method of Data Ingestion class
[ 2025-03-10 12:45:22,223 ] 70 root - INFO - Exporting train and test file path.
[ 2025-03-10 12:45:22,280 ] 77 root - INFO - Exported train and test file path
[ 2025-03-10 12:45:22,280 ] 19 root - INFO - Data Initiation completed
[ 2025-03-10 12:45:22,288 ] 24 root - INFO - Initiate the data validation
[ 2025-03-10 12:45:22,329 ] 32 root - INFO - Required number of columns:2
[ 2025-03-10 12:45:22,329 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-10 12:45:22,330 ] 32 root - INFO - Required number of columns:2
[ 2025-03-10 12:45:22,330 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-10 12:45:22,445 ] 26 root - INFO - data Validation completed
[ 2025-03-10 12:45:22,446 ] 30 root - INFO - data transformation started
[ 2025-03-10 12:45:22,446 ] 61 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-10 12:45:22,446 ] 63 root - INFO - Starting data transformation
[ 2025-03-10 12:45:22,486 ] 47 root - INFO - Entered get_data_transformer_object method of Transformer class
[ 2025-03-10 12:45:22,486 ] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-10 12:45:22,495 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-10 12:45:22,497 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-10 12:45:22,498 ] 34 root - INFO - data transformation completed
[ 2025-03-10 12:45:22,498 ] 37 root - INFO - Model Training start
[ 2025-03-10 12:47:44,310 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-10 12:47:44,310 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-10 12:47:44,310 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-10 12:47:44,326 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-10 12:47:44,326 ] 145 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_10_2025_12_45_20\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9912005664003236, precision_score=0.9885011095420617, recall_score=0.9939148073022313), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9745454545454545, precision_score=0.9663461538461539, recall_score=0.9828850855745721))
[ 2025-03-10 12:47:44,330 ] 41 root - INFO - Model Training artifact created
