[ 2025-03-10 14:25:17,682 ] 17 root - INFO - Initiate the data ingestion
[ 2025-03-10 14:25:18,408 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-03-10 14:25:18,409 ] 64 root - INFO - Exited split_data_as_train_test method of Data Ingestion class
[ 2025-03-10 14:25:18,409 ] 70 root - INFO - Exporting train and test file path.
[ 2025-03-10 14:25:18,465 ] 77 root - INFO - Exported train and test file path
[ 2025-03-10 14:25:18,465 ] 19 root - INFO - Data Initiation completed
[ 2025-03-10 14:25:18,473 ] 24 root - INFO - Initiate the data validation
[ 2025-03-10 14:25:18,512 ] 32 root - INFO - Required number of columns:2
[ 2025-03-10 14:25:18,512 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-10 14:25:18,512 ] 32 root - INFO - Required number of columns:2
[ 2025-03-10 14:25:18,512 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-10 14:25:18,702 ] 26 root - INFO - data Validation completed
[ 2025-03-10 14:25:18,702 ] 30 root - INFO - data transformation started
[ 2025-03-10 14:25:18,702 ] 61 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-10 14:25:18,702 ] 63 root - INFO - Starting data transformation
[ 2025-03-10 14:25:18,741 ] 47 root - INFO - Entered get_data_transformer_object method of Transformer class
[ 2025-03-10 14:25:18,741 ] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-10 14:25:18,750 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-10 14:25:18,752 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-10 14:25:18,753 ] 34 root - INFO - data transformation completed
[ 2025-03-10 14:25:18,753 ] 37 root - INFO - Model Training start
[ 2025-03-10 14:27:45,555 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-10 14:27:45,556 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-10 14:27:45,556 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-10 14:27:45,559 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-10 14:27:45,559 ] 126 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_10_2025_14_25_14\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9903425841211752, precision_score=0.989638358390898, recall_score=0.9910478128179043), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.979476861167002, precision_score=0.9790828640386162, recall_score=0.9798711755233495))
[ 2025-03-10 14:27:45,560 ] 41 root - INFO - Model Training artifact created
